Date,COGS_margin,Year,Covid_Decay_Shock,Revenue_lag1,Revenue_lag7,Revenue_lag14,Revenue_lag30,Revenue_lag365,Revenue_roll_mean7,Revenue_roll_std7,Revenue_roll_max7,Revenue_roll_min7,Revenue_roll_mean14,Revenue_roll_std14,Revenue_roll_max14,Revenue_roll_min14,Revenue_roll_mean30,Revenue_roll_std30,Revenue_roll_max30,Revenue_roll_min30,Revenue_roll_mean90,Revenue_roll_std90,Revenue_roll_max90,Revenue_roll_min90,Revenue_ratio_7_30,Revenue_ratio_14_90,DayOfWeek,DayOfMonth,DayOfYear,WeekOfYear,Month,Is_Weekend,Is_MonthEnd,Is_MonthStart,Is_QuarterEnd,DOW_sin,DOW_cos,Month_sin,Month_cos,DOY_sin,DOY_cos,DOM_sin,DOM_cos,Fourier_sin_1,Fourier_cos_1,Fourier_sin_2,Fourier_cos_2,Fourier_sin_3,Fourier_cos_3,Time_idx,Revenue_diff1,Revenue_diff7,Revenue_yoy_growth,Revenue_mom_growth,Revenue_vs_roll30,Lag1_x_Covid,RollMean30_x_Covid,Weekend_x_Month_sin,Weekend_x_Month_cos
2022-01-01,11766.05153687854,-482.8490728542887,22506.90225034445,-354352.3690053153,-256665.65323672837,-120606.45691937623,-11068.701226959909,-413098.40976323676,12607.076031574074,10131.83432562987,6521.466914645058,-108125.64867158326,-19393.135194864964,4550.592416309286,628.3430319169955,-36513.139698326675,-13894.562790584205,20004.946932520106,-19462.67767141483,18581.402736528693,-333.36846337134193,15065.303487956455,-3294.1203289757505,11923.737584921151,-51332.34956772792,8555.017697684827,-29072.12341709838,-148027.6549337164,9138.341946260372,3960.186657300314,569.8997005235019,2830.830689083297,1939.0794866700362,7704.821268815863,1506.6317690491846,-7729.269193561052,-16158.666338075145,-2027.5671109229534,-3148.16638439109,-24140.027414311102,-15316.702841466238,13925.99868389033,201083.59583342366,-4823.839728124056,-7116.220614309053,-8102.886389046096,78039.96806758056,-2874.7358046276877,258281.41123519826,-10206.506142704544,18411.433217833463,5950.5710058208915,16945.874153790188,-5589.063990126644,86311.29349027417,5049.258004440009,15447.599350955714,1488.1723258687755,24516.75436698465
2022-01-02,-11081.470917208719,-12.114972701037004,29089.178402008794,-309195.11626826617,-249072.79077742092,-82102.71725231307,-8494.746368371241,-400500.1454076696,30328.41963674678,11091.812793683901,6731.313685755313,-91743.16189586563,-1814.4447214020315,4279.689086372257,-394.12845782148406,-27341.94041441669,-11179.763451338556,18760.961823601567,-19953.135085289323,24250.735945813958,1856.8735909859392,13653.557232756146,-400.6366866600242,6932.311504636808,-214655.5103676214,10998.632009957704,16210.125729507237,-243496.25768579118,7421.834486305299,4218.20817455074,577.7001394213538,2883.403687130172,1972.9576797200443,-158.32381038678483,1315.0658614889298,-5432.060825165807,21133.015521008885,-3185.4892634843823,-3565.4743531627746,-23241.86132300098,-2851.8730362160386,-36831.02894736114,120525.49977279198,-5580.409680630909,-5689.698052576077,-10784.037062410698,-19264.367949527885,-20113.058965512675,187741.4356396349,-10083.569933934032,-25913.338533948918,8127.826697941238,-12983.183334450074,5168.012528594997,61396.24189045227,13885.774435124225,27479.6819898897,1397.4492613833656,18740.14992844624
2022-01-03,-8157.935353801839,-144.1235025571366,12910.552234401453,-600838.4684350521,-251764.0670655762,-105212.7753540932,-1105.2988106939274,-426311.3613473554,26535.93450222224,9415.432215664354,6913.146293430512,-97645.60283883451,-1825.778790811963,8210.228621557282,884.123393048922,-18900.69437251654,-30015.320234261017,10680.113539771954,-19751.35576804508,17481.674788606335,-335.25704357937684,10419.105579140085,-595.6621330556499,1420.2139267750663,-340136.47128728335,-5330.8843006855905,31948.669643953137,-299211.15828492015,2309.3482336179604,-3837.846254245694,835.7104946004388,-391.9266298736759,1871.6525714658544,-224.60084896100358,1157.0852768655323,-3710.712086033903,29516.930816363463,-2294.988630572208,-4949.51852799464,-26574.546137077083,-27461.049663146405,-68382.9417300862,58373.724866366676,-6813.797334198097,-8838.114761728535,-14353.06552573318,-46158.12012038149,-14804.677510157138,126240.29488557977,-21091.503031074193,-49428.24492056541,-25358.151461990314,-230529.91140475083,-23636.242390558247,-34271.915657237754,12069.990256980731,20676.54645874105,1026.5223360332177,1897.2171719689748
2022-01-04,8728.054629080354,1027.1051781922092,13793.184238361917,-852936.541112707,-101907.58054461872,-66299.8062348509,4213.07459388136,-385083.36552266113,25840.926772458948,6806.115028929918,4964.928084536171,-115707.9416518667,3033.6203059032177,4446.18483724533,-522.9334148374869,-22742.216116034222,-23285.20586202499,12870.195723589874,-15830.689856623054,20082.7759523884,-4293.366279447531,2109.4730443124763,-3377.592622867568,9879.223342472194,-234690.0878679753,5647.091861064777,9544.923192196213,-222533.40448019147,1805.325187346712,-5451.695927372085,250.4192813744899,-391.9266298736759,2004.0432976221778,-230.5400715211614,1252.5162474515296,8721.497054014393,24087.06813497794,-2953.5137822132474,-1525.0581842739698,-26358.49920077272,-24021.405610655573,-90680.33848351342,-60177.25999829297,-5105.653938343481,-11104.452949062113,-9989.648094323256,-49183.97596410097,-20515.253690793128,32289.716297153525,-12218.496709409681,57187.396674405965,11275.427560373313,41452.81913383439,10677.04630645508,16466.378857693577,13371.47774265548,17854.6020876182,991.8088150394242,1913.7225356997494
2022-01-05,7234.4693021066605,1036.9967292430479,13964.908061323895,-860350.8955982359,-15035.493400444666,-84057.96337459613,-20967.982615865047,-385574.0953279219,18567.240430768623,-862.9581859275365,5976.261675111341,-129349.73101024743,-3568.269576221821,-1839.5461598588938,2666.707388084681,-31593.004017141582,-17111.417938151248,12289.426034331007,-14979.69509520083,12734.332237443556,190.53458849562895,3680.5084169796746,-259.7378239374026,12141.594307715397,-149097.90662115763,-6509.931482169681,7676.317872485305,-156698.07145283662,105.66768949415564,-10863.804679983601,340.6204840246408,-370.18811863941124,2284.9829257083566,-230.5400715211614,1292.9328783275232,22732.79481930314,3838.5935326026693,-2457.1974356647106,-8017.621950528131,-28211.041867060234,-41568.383054724036,-105359.32720108939,-57535.46058790646,-6685.666448262525,-16092.022131753945,-7928.888116379812,-50729.58300257051,-11342.651817408057,-7102.446034885805,-13412.585344155437,-19113.944094865266,3167.258648800609,12913.513525089882,3629.6666816276334,-30036.54741836615,3471.221200677698,8465.406324192316,902.9737645992666,3280.2706716563434
2022-01-06,26405.177593208587,-462.60748656392593,16342.821907101772,-933104.0076718426,-3618.358036593485,-74905.9539197807,-23818.18748628119,-388813.7343057252,13768.969172784791,1572.6661634684424,6328.688493728606,-127192.33001890997,245.2527648015357,171.47001984275164,608.623846510752,-28256.708528501928,-28612.010390177194,14409.980118858939,-15418.181150086702,13806.928076058468,-3783.193444804842,-500.21276939346444,-6628.162353643965,11620.69813383049,-39941.88334002558,-13294.872483928502,-854.309027517299,-104341.35935035169,-2906.2667095638553,-7186.156598558009,247.69243165818892,-370.90527028125695,2189.8608328229575,-104.4383555338054,1274.588239650394,9480.031061122158,-26189.40525668372,-2989.581685066383,-4634.078718544031,-25675.680136036986,-31694.737001829933,-114660.22705303945,-60194.51214082325,-3681.870705464359,-13017.45143049652,-12485.361616308848,-67388.84377227665,-8213.40985149658,-1848.6970875436423,-5114.230178204374,-28378.621413377892,5729.985470613736,-29713.529873439868,22957.623440743053,22778.632236442958,4662.884319296974,9285.143023585993,913.7851428588623,1100.1473282730599
2022-01-07,12499.851033427944,-444.442427578356,14456.639280472298,-887620.1508665464,-45278.67957451403,-98225.0754253466,-3098.021095887436,-388469.6123944965,11188.774324827657,3390.679449718593,22979.242455870626,-139289.50980889873,-1478.271036232572,-1806.8875285174638,2234.439384725916,-30557.97047916306,-19971.74912535413,11882.635885422258,-15455.244580062497,14836.931470880496,-3443.761644900325,4645.5351603604295,-2476.9051110813652,12569.368515086517,24854.767687848573,24646.68763989012,-31227.308170311793,-70937.78909218014,-638.0393059754701,-5598.966929845721,265.8173911710849,-1046.8125173335275,2130.393266548605,-159.01179104157154,1299.4819755116293,-9489.900278353278,-31685.174267902665,-2784.9238268060803,-1988.8484860558515,-24320.046472260794,-20916.443608515037,-94283.79531312529,-52265.99399782419,-6605.1010036590405,-10349.16131942458,-12299.199724678676,-55999.42218466876,-7401.745987729348,-3456.4047037091855,-13734.353797337348,18596.884655804235,13708.252243926865,-27974.35692010731,3722.7798935994947,16764.83534487202,4716.938079685947,11302.79915432238,955.5810451995534,2130.3787861824644
2022-01-08,25809.87536027701,-439.60321560991105,10277.412962639799,-878252.3472531075,-43286.24610724551,-105820.66292078324,-557.2656940545385,-370165.3005544123,20302.666327004885,-1540.9892496075606,22508.287565572147,-139740.57527485085,-9310.855910124192,2038.415718634229,2807.4095127013647,-29537.176291316613,-19849.451893747344,15508.301987393705,-15357.963487870678,12110.519531591726,1171.516234448695,8459.092410587658,-4463.550814592687,13588.10940818148,32066.506344367852,27525.193444060667,-33648.70846023143,-47108.43022821986,3515.5924296760695,-2500.298149882878,272.7089496333447,690.382344351716,2085.7145370096305,-135.25353603668873,1346.1709171179782,-19164.971608737163,-18553.453324912443,-2458.0491549794915,-2343.7750206546475,-26103.4377078834,-19932.24229651536,-95241.98684221743,-48152.07220584192,-6172.7958826207305,-8966.205028017765,-10646.88345497449,-13502.134407535716,-7131.27493215309,-1983.055972433529,-15396.985445118124,18234.342519052592,22443.2744515703,19211.778381512908,-396.18748838237934,-24152.247986838105,1296.679467765839,8840.050660993355,1346.9569395105698,22500.59283996791
2022-01-09,6006.203311611578,-756.0169644329044,11258.192708979292,-775094.0379342027,-111477.66204846598,-110633.1224343697,-9026.035534050457,-388499.6998180412,22718.548605788077,2788.6033647698578,17583.012449460402,-134797.05892540672,-9419.244274028602,101.97299710367616,1093.4113332647703,-27050.404755782438,-10670.205759538196,8009.209610522976,-13809.896295681709,15144.760757919143,-667.8500920609681,7504.397163036608,-6144.607486308524,13366.793860915415,5379.373868991152,27379.29372929072,1484.1776296821276,-28887.871035608045,1834.6780718562031,-4718.822014944861,251.6412837551297,729.8755194055625,2085.7145370096305,-135.25353603668873,1344.1745568603392,-11630.869697474733,27523.63741323701,-3231.0039889638665,-3387.0362311523213,-23923.917799865045,-17147.774121323906,-79101.56373597088,-30398.949216842,-5882.493308110967,-7721.489690492257,-10883.37586527058,17687.25622911992,-5894.5846605844345,21311.057206073347,-15633.093470168264,12174.209466771164,13783.64672356115,16374.175907476152,3551.9091644987784,-19211.853903257284,1946.5145440016927,10144.035387865257,1375.1517883034107,17923.685429617937
2022-01-10,22975.234375184722,4376.831720258642,13657.545446854605,-707418.8599747707,-157347.00739977893,-105689.50236790464,-6190.798474540932,-402715.556303586,19887.709697962076,11064.513280090403,19374.590702935253,-125886.66676070778,-10238.345588632254,5702.0693745824965,1316.78844110768,-20018.74431161637,-16591.769709116503,17876.81352017143,-14197.537626748108,12148.557730225442,9.55954465996831,8813.762177217268,-2281.4428736787086,12732.282074630986,56029.43013000153,34896.55276736243,39853.277941256245,-4248.3777750548725,1139.285224668592,-1416.1244534617827,251.6412837551297,-427.32571587221105,2112.383100672908,-68.97650509186451,1416.871658839532,-1726.6077909303126,30163.284106618783,-3729.1162474203675,-4492.923565925596,-24986.6808098308,-22180.72629470405,-84879.61771578097,-27425.222859647372,-5356.443454078788,-9364.516464727469,-6724.233861733871,19172.015095062095,-4938.473389301623,18680.169663289802,-3936.5763112463474,10569.094223601825,19642.527451773603,33734.16985744213,30074.67048466372,-18016.164223659962,-1827.7030269226898,10430.505376168658,871.6127168456444,3382.307772844288
2022-01-11,41847.48713006594,-92.4824225220975,16704.49153791408,-546466.7619942159,-283406.2136012069,-115611.5323955182,-18827.833035999258,-399455.774560113,22747.91188603643,8302.834096328108,15937.636545865653,-126853.54015416098,-13453.725534506024,1554.5207244097355,-989.5047824678725,-30325.32073227516,-28423.19719044471,15807.564646934181,-23010.176093216727,8134.327488762805,-642.5020166795076,3262.882905040608,1382.918312464803,9620.486017093086,25044.319711400203,13382.319024613253,14801.6145110466,9973.555302878143,737.5085463782934,-8498.68243383722,193.95825495402931,-423.9451311554142,2124.70394324894,-135.25353603668873,1407.6061356976645,-1909.1659062510225,23158.14092393273,-2885.034433483684,-4467.351518236603,-23594.325958891808,-26502.986787395563,-77852.25983375608,-28145.84479573933,-4490.745822784465,-10584.389795368552,-2802.6089148061283,-4732.909090562717,-10548.752315246282,7184.096170502296,-648.2300881233723,-19529.074672404065,-39195.072459962685,-24447.68067246203,9110.918628558149,-32123.355974265884,5934.79534006945,11044.685068942228,951.4868164429463,1516.5765642166084
2022-01-12,13204.551167530444,1086.8302472745988,17496.484541782753,-807070.3005462722,-224612.1827051479,39073.0963830876,-24707.136186282725,-384911.61836782296,19375.99129012662,7119.759534401919,18624.722568642097,-124985.88132573944,-14239.194773635754,1404.4722801714015,2659.760232660328,-43251.64616839508,-16110.136678438066,19920.500025272366,-19872.594189262214,5975.917017159145,4392.297008917765,5983.378917460235,-968.2833801559322,8542.659368840272,30593.688202228368,8890.534399161988,7271.594296953272,14486.391107690431,-867.7656595452695,-9223.581014321757,313.8848369494134,-432.031609389156,2113.5856560206153,-68.97650509186451,1417.6547731625253,26793.388430404862,4420.924436419486,-3620.4963097736413,-6918.178682777874,-23681.154392962653,-36784.742376305956,-20148.020670713333,-33086.36098647758,-6938.419997975586,-12141.657869392597,-11268.57754759537,-10677.188955075428,-12471.260308199666,8721.584830709477,-557.220172642689,-15294.01669083598,4762.968402794864,-10759.778107836577,-10091.449973850053,-17411.55709868403,6071.119111630317,10613.490305202726,1151.1424343732492,1399.2211906173134
