Date,Revenue,COGS,COGS_margin,Year,Covid_Decay_Shock,Revenue_lag1,Revenue_lag7,Revenue_lag14,Revenue_lag30,Revenue_lag365,Revenue_roll_mean7,Revenue_roll_std7,Revenue_roll_max7,Revenue_roll_min7,Revenue_roll_mean14,Revenue_roll_std14,Revenue_roll_max14,Revenue_roll_min14,Revenue_roll_mean30,Revenue_roll_std30,Revenue_roll_max30,Revenue_roll_min30,Revenue_roll_mean90,Revenue_roll_std90,Revenue_roll_max90,Revenue_roll_min90,Revenue_ratio_7_30,Revenue_ratio_14_90,DayOfWeek,DayOfMonth,DayOfYear,WeekOfYear,Month,Quarter,Is_Weekend,Is_MonthEnd,Is_MonthStart,Is_QuarterEnd,DOW_sin,DOW_cos,Month_sin,Month_cos,DOY_sin,DOY_cos,DOM_sin,DOM_cos,Fourier_sin_1,Fourier_cos_1,Fourier_sin_2,Fourier_cos_2,Fourier_sin_3,Fourier_cos_3,Time_idx,Revenue_diff1,Revenue_diff7,Revenue_yoy_growth,Revenue_mom_growth,Revenue_vs_roll30,Lag1_x_Covid,RollMean30_x_Covid,Weekend_x_Month_sin,Weekend_x_Month_cos
2013-07-05,2494107.65,2432073.97,0.9751279059666892,2013,0.0,2521315.44,6285354.21,5526354.45,6860958.96,3191626.73,6761810.93,2172761.8498151423,9546012.78,2521315.44,6597072.215714285,1765503.580533972,9546012.78,2521315.44,6086492.995666667,1575415.41206159,9546012.78,2521315.44,6526940.811444445,2479351.000631319,13809349.18,2521315.44,1.1109535384028406,1.0107449119420326,4,5,186,27,7,3,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,0.8486442574947509,0.5289640103269624,-0.060213277365792774,-0.9981855344718586,0.12020804489935226,0.9927487224577403,-0.17976658572556148,-0.9837092937736099,366,-5517365.1899999995,-5226884.300000001,-0.37706707005067985,0.27118148651399593,-2.263007920559346,0.0,0.0,-0.0,-0.0
2013-07-06,2452372.43,2331799.51,0.95083417244256,2013,0.0,2494107.65,9546012.78,5117274.96,5692902.11,3251086.685,6220204.278571428,2715949.197550788,9546012.78,2494107.65,6380483.158571429,2067182.5460993638,9546012.78,2494107.65,5940931.285333334,1698334.5441594103,9546012.78,2494107.65,6513950.934666667,2497519.3739167955,13809349.18,2494107.65,1.0470082853722846,0.97951047260965,5,6,187,27,7,3,1,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,0.9377521321470804,0.3473052528448203,-0.07738647923346322,-0.9970011699250151,0.15430882066428142,0.9880226656636976,-0.23030567023061174,-0.973118337233262,367,-27207.790000000037,-3791246.56,0.1814514327115112,-0.1702468790164572,-2.029531606235635,0.0,0.0,-0.4999999999999997,-0.8660254037844388
2013-07-07,2958215.01,2950992.63,0.9975585344623076,2013,0.0,2452372.43,7372318.59,5844565.63,3843507.28,3534494.104285714,5206827.085714286,2588606.4966816315,8038680.63,2452372.43,6190132.977857143,2301826.4000985846,9546012.78,2452372.43,5832913.629333333,1813782.0696349253,9546012.78,2452372.43,6508702.469888888,2505629.915848665,13809349.18,2452372.43,0.8926631554305025,0.9510548387323666,6,7,188,27,7,3,1,0,0,0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,0.9884683243281114,0.1514277775045767,-0.09453674981719933,-0.9955213724144752,0.1882267098432443,0.9821256058680006,-0.28023067519921585,-0.9599326896597447,368,-41735.21999999974,-7093640.35,0.1573215638131321,-0.32485976295840385,-1.8638078167868002,0.0,0.0,-0.4999999999999997,-0.8660254037844388
2013-07-08,2571901.18,2450996.77,0.9529902583582156,2013,0.0,2958215.01,6359864.53,5243774.5,3646959.35,3600113.652857143,4576240.86,2509605.9273474417,8038680.63,2452372.43,5983965.076428571,2459050.2575559993,9546012.78,2452372.43,5803403.886999999,1854020.6660139477,9546012.78,2452372.43,6489672.922444444,2526163.968249422,13809349.18,2452372.43,0.7885442662798411,0.9220749871281033,0,8,189,28,7,3,0,0,0,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,0.9987165071710528,-0.05064916883871264,-0.11165900712169444,-0.9937465804361781,0.2219215130041654,0.9750645322571948,-0.32940848222452995,-0.9441875088341994,369,505842.5799999996,-4414103.58,0.3494028645498371,-0.05113764998514565,-1.5346047264494622,0.0,0.0,-0.0,-0.0
2013-07-09,4624825.33,4592718.95,0.9930578178181704,2013,0.0,2571901.18,7209130.33,6728887.1,3880132.51,4026236.305714286,4035103.238571428,2468973.678232351,8038680.63,2452372.43,5793116.982142857,2619372.241470255,9546012.78,2452372.43,5767568.614666667,1906777.5485691354,9546012.78,2452372.43,6470546.744666668,2549390.0161821744,13809349.18,2452372.43,0.6996194598032758,0.8953056381082187,1,9,190,28,7,3,0,0,0,0,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,0.9680771188662043,-0.2506525322587204,-0.12874817745258066,-0.99167731989929,0.25535329511618676,0.9668478136052776,-0.3777079652039649,-0.9259247771938498,370,-386313.8299999996,-3787963.35,0.7054167208516041,0.06393631999215979,-1.6759518891255616,0.0,0.0,-0.0,-0.0
2013-07-10,3855254.64,3797797.81,0.9850964889831504,2013,0.0,4624825.33,8038680.63,8817278.13,4476887.83,4348448.061428571,3665916.81,2077427.0936879343,8038680.63,2452372.43,5642826.855714286,2621911.5483169225,9546012.78,2452372.43,5792391.708666666,1886094.117277837,9546012.78,2452372.43,6455135.528555555,2556376.81813798,13809349.18,2452372.43,0.6328848245043566,0.8741608647490247,2,10,191,28,7,3,0,0,0,0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,0.8978045395707416,-0.4403941515576344,-0.14579919691987442,-0.9893142039703664,0.28848243288060854,0.9574851883550394,-0.4250003399695525,-0.9051931898913982,371,2052924.15,-2584305.0,0.2254719463191078,0.15379766501840392,-0.6190392981829487,0.0,0.0,-0.0,-0.0
2013-07-11,5785320.61,5626075.87,0.9724743448574408,2013,0.0,3855254.64,2521315.44,7748199.74,5003847.86,4513148.128571428,3068284.5257142857,847432.8818414244,4624825.33,2452372.43,5288396.606428572,2491941.5427861847,9546012.78,2452372.43,5771670.602333333,1904371.0899443303,9546012.78,2452372.43,6450807.738333332,2560487.297955366,13809349.18,2452372.43,0.5316111637545383,0.8198037859666399,3,11,192,28,7,3,0,0,0,0,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,-0.16280701293851646,-0.9866579328916572,0.7907757369376989,-0.6121059825476626,-0.16280701293851646,-0.9866579328916572,0.3212696616923639,0.9469877530760755,-0.47115950767386416,-0.8820480249558535,372,-769570.69,-4183425.9899999998,-0.1378794564411856,0.11770677533370298,-1.0063248557240727,0.0,0.0,-0.0,-0.0
2013-07-12,6053300.71,5886949.95,0.9725189994732644,2013,0.0,5785320.61,2494107.65,6285354.21,7209020.15,4740003.754285715,3534570.978571429,1282575.7576788738,5785320.61,2452372.43,5148190.954285714,2396281.4099787246,9546012.78,2452372.43,5797719.694,1898842.8972259907,9546012.78,2452372.43,6467509.502777778,2551067.6672509145,13809349.18,2452372.43,0.6096484764914236,0.7960082551211671,4,12,193,28,7,3,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.17976658572556214,-0.9837092937736098,0.6513724827222223,-0.758758122692791,-0.17976658572556214,-0.9837092937736098,0.3536761221763716,0.9353679493131483,-0.5160623910158532,-0.8565509959010034,373,1930065.9700000002,3264005.1700000004,-0.15097589488749652,0.44069531122794675,-0.006529810348246023,0.0,0.0,-0.0,-0.0
2013-07-13,4161301.31,3995435.41,0.9601408579567626,2013,0.0,6053300.71,2452372.43,9546012.78,6845836.24,4733634.472857143,4043027.1300000004,1490064.0568733194,6053300.71,2452372.43,5131615.704285714,2388600.761960404,9546012.78,2452372.43,5759195.712666666,1880861.4668460584,9546012.78,2452372.43,6476830.713444445,2547968.260416545,13809349.18,2452372.43,0.7020124565497636,0.7923035094361235,5,13,194,28,7,3,1,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,-0.19667288979357622,-0.9804691603616321,0.48530196253108104,-0.8743466161445821,-0.19667288979357622,-0.9804691603616321,0.38566340624360695,0.9226395488404876,-0.5595892624101757,-0.8287700871745043,374,267980.0999999996,3559193.06,-0.17455305652599748,-0.05037909486214983,0.1563671766993585,0.0,0.0,-0.4999999999999997,-0.8660254037844388
2013-07-14,4482102.22,4419156.67,0.9859562439876708,2013,0.0,4161301.31,2958215.01,7372318.59,4871516.57,4625318.882857143,4287159.827142857,1315823.338689349,6053300.71,2571901.18,4746993.456428572,2029662.8263471497,8038680.63,2452372.43,5669711.215,1891212.0770706027,9546012.78,2452372.43,6472995.261,2551225.259105615,13809349.18,2452372.43,0.7561513566688509,0.7333534577152171,6,14,195,28,7,3,1,0,0,0,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,-0.2135209154397959,-0.9769384927771817,0.29936312297335804,-0.9541392564000488,-0.2135209154397959,-0.9769384927771817,0.4171936026123165,0.908817637339503,-0.6016240632249218,-0.7987793728863655,375,-1891999.4,1708928.88,-0.12886172298184,-0.288397151317192,-0.7975889765554198,0.0,0.0,-0.4999999999999997,-0.8660254037844388
